date,cash,stock_market_value,stock_position,future_margin,future_position,net_value,PnL,
20161123,11206089.099022,293262.000000,52840,0.000000,0,11499351.099022,-2113.600000,
20161124,11206089.099022,292205.200000,52840,0.000000,0,11498294.299022,-1056.800000,
20161125,11206089.099022,294318.800000,52840,0.000000,0,11500407.899022,2113.600000,
20161128,11503854.754342,0.000000,0,0.000000,0,11503854.754342,3446.855320,
20161129,11503854.754342,0.000000,0,0.000000,0,11503854.754342,0.000000,
20161130,11503854.754342,0.000000,0,0.000000,0,11503854.754342,0.000000,
20161201,11503854.754342,0.000000,0,0.000000,0,11503854.754342,0.000000,
20161202,11503854.754342,0.000000,0,0.000000,0,11503854.754342,0.000000,
20161205,11503854.754342,0.000000,0,0.000000,0,11503854.754342,0.000000,
20161206,11503854.754342,0.000000,0,0.000000,0,11503854.754342,0.000000,
20161207,11503854.754342,0.000000,0,0.000000,0,11503854.754342,0.000000,
20161208,10927627.609102,575191.800000,110190,0.000000,0,11502819.409102,-1035.345240,
20161209,10927627.609102,574089.900000,110190,0.000000,0,11501717.509102,-1101.900000,
20161212,10927627.609102,567478.500000,110190,0.000000,0,11495106.109102,-6611.400000,
20161213,10927627.609102,565274.700000,110190,0.000000,0,11492902.309102,-2203.800000,
20161214,10351040.136438,1133087.410000,252727,0.000000,0,11484127.546438,-8774.762664,
20161215,10351040.136438,1134512.780000,252727,0.000000,0,11485552.916438,1425.370000,
